matriz,accuracy_K5,mse_K5,r2_K5
Negative Distance (Normalized),0.2903225806451613,29.19476105909677,-11.108756245418101
Positive Column Distance (Normalized),0.2903225806451613,6.168296051393547,-1.558349190963038
Mixed 50-50 Distance,0.1935483870967742,2.761229859922581,-0.14524175223398528
Mixed 30-70 Distance,0.25806451612903225,2.6557785311999993,-0.10150498615213599
Mixed 70-30 Distance,0.22580645161290322,5.202969518258064,-1.1579724362668409
