mol_id,afinidad_predicha
xyz_newmol0,0.21716666666666662
xyz_newmol10,0.057666666666666665
xyz_newmol11,0.062266666666666665
xyz_newmol12,4.066666666666666
xyz_newmol13,0.7258333333333334
xyz_newmol14,0.07983333333333333
xyz_newmol15,0.1445
xyz_newmol16,4.403833333333334
xyz_newmol17,0.04700000000000001
xyz_newmol18,0.04950000000000001
xyz_newmol19,0.8983333333333334
xyz_newmol1,0.012699999999999998
xyz_newmol2,13.349000000000002
xyz_newmol3,0.7393333333333333
xyz_newmol4,0.12433333333333334
xyz_newmol5,0.04700000000000001
xyz_newmol6,0.028166666666666663
xyz_newmol7,0.023366666666666664
xyz_newmol8,0.076
xyz_newmol9,1.7533333333333332
