mol_id,afinidad_predicha
xyz_newmol0,2.003333333333333
xyz_newmol10,0.14633333333333334
xyz_newmol11,0.7323333333333334
xyz_newmol12,1.1166666666666667
xyz_newmol13,2.5692666666666666
xyz_newmol14,1.9096666666666664
xyz_newmol15,0.16566666666666666
xyz_newmol16,26.166666666666668
xyz_newmol17,22.063333333333333
xyz_newmol18,0.08633333333333333
xyz_newmol19,0.7496666666666667
xyz_newmol1,0.20950000000000002
xyz_newmol2,0.05266666666666667
xyz_newmol3,3.4533333333333336
xyz_newmol4,1.0466666666666666
xyz_newmol5,0.3733333333333333
xyz_newmol6,0.7205
xyz_newmol7,0.24133333333333332
xyz_newmol8,1.9226666666666663
xyz_newmol9,0.38999999999999996
