matriz,accuracy_K3,mejor_accuracy,mejor_K_accuracy,mse_K3,r2_K3,mejor_r2,mejor_K_r2
Negative Distance (Normalized),0.2608695652173913,0.32608695652173914,17,47.81121466038648,-13.487376864823212,-1.381872381599334,20
Positive Column Distance (Normalized),0.30434782608695654,0.3695652173913043,6,6.6099641835507255,-1.0028991706296204,-0.22093010123044143,2
Mixed 50-50 Distance,0.2826086956521739,0.41304347826086957,15,3.7569070331884054,-0.13838831375687421,-0.13838831375687421,3
Mixed 30-70 Distance,0.3695652173913043,0.3695652173913043,3,3.4912584579710146,-0.05789357941233253,-0.05789357941233253,3
Mixed 70-30 Distance,0.2391304347826087,0.3695652173913043,14,10.946072666231885,-2.3167925356397894,-0.4884746562467055,10
