mol_id,afinidad_predicha
xyz_newmol0,2.0833333333333335
xyz_newmol10,0.057666666666666665
xyz_newmol11,0.08233333333333333
xyz_newmol12,4.066666666666666
xyz_newmol13,0.7258333333333334
xyz_newmol14,1.9031666666666665
xyz_newmol15,0.161
xyz_newmol16,4.559666666666667
xyz_newmol17,0.27649999999999997
xyz_newmol18,0.04950000000000001
xyz_newmol19,0.8983333333333334
xyz_newmol1,0.018699999999999998
xyz_newmol2,0.038666666666666676
xyz_newmol3,4.043
xyz_newmol4,0.8366666666666668
xyz_newmol5,0.04700000000000001
xyz_newmol6,0.021500000000000002
xyz_newmol7,0.07076666666666666
xyz_newmol8,0.076
xyz_newmol9,1.6066666666666665
